serie_id,nome_serie,serie_original,nome_series_en,data_lancamento,poster,nota_omdb,nota_imdb_pt,nota_imdb_en,nota_adorocinema,nota_filmow,nota_rottentomatoes,nota_trakt,NaN_count,nota_score,streaming,studio,serie_type,data,ranking
70,This Hour Has 22 Minutes,This Hour Has 22 Minutes,This Hour Has 22 Minutes,,https://image.tmdb.org/t/p/w500/shWjVJtL7NBLcGiylwWwXLm9nlR.jpg,"6,7",7,,,,,"6,85185",4,"6,775925",N/A,N/A,Cinema,2025-02-06,1
1021,Casualty,Casualty,Casualty,,https://image.tmdb.org/t/p/w500/xori6j1eOdXwD5z213t2o8NMcvu.jpg,"5,994","6,1",,,,,"7,53012",4,"6,76206",N/A,BBC,Cinema,2025-02-06,1
67192,New Japan Pro Wrestling,New Japan Pro Wrestling,New Japan Pro Wrestling,,https://image.tmdb.org/t/p/w500/c6IZc3avqSgTzSXrrj9vV0EwRp.jpg,"8,5","8,6",,,,,5,4,"6,75",N/A,Bushiroad,Cinema,2025-02-05,1
2051,The Price Is Right,The Price Is Right,The Price Is Right,,https://image.tmdb.org/t/p/w500/x2wMeWFWJhEl0jVp9x5P5wmVBpw.jpg,"6,1","7,5",,,,,"7,37037",4,"6,7351849999999995",N/A,Mark Goodson-Bill Todman Productions,Cinema,2025-02-06,1
37790,Sveriges Mästerkock,Sveriges Mästerkock,Sveriges Mästerkock,,https://image.tmdb.org/t/p/w500/yOr7Ek5rAeSxSaf2zhCrMjMrqIA.jpg,,"6,5",,,,,"6,70588",4,"6,70588",N/A,Meter Television,Cinema,2025-02-06,1
216272,Unnamed Memory,Unnamed Memory,Unnamed Memory,,https://image.tmdb.org/t/p/w500/2h67cW61TtPdl6R41TkbTJv4Xiz.jpg,"7,2","6,1",,,,,"6,20388",4,"6,7019400000000005",Crunchyroll,KADOKAWA,Streaming,2025-02-06,1
84971,Watzmann ermittelt,Watzmann ermittelt,Watzmann ermittelt,,https://image.tmdb.org/t/p/w500/9Gt7pmS6V9smC9ByNrES3RIG6ys.jpg,"6,7","6,3",,,,,"6,625",4,"6,6625",N/A,Lucky Bird Pictures,Cinema,2025-02-06,1
2354,Home and Away,Home and Away,Home and Away,,https://image.tmdb.org/t/p/w500/vn0eKMiG69bhQtxb7qLRo8SSqu5.jpg,"6,3","5,1",,,,,"6,975",4,"6,637499999999999",N/A,Seven Studios,Cinema,2025-02-06,1
108466,Alle mot alle,Alle mot alle,Alle mot alle,,https://image.tmdb.org/t/p/w500/qmOYqF2ezHT1leCE91Mdm6tu3Vl.jpg,8,"7,4",,,,,"5,25",4,"6,625",N/A,Nexiko Norge,Cinema,2025-02-06,1
87362,Alla mot alla med Filip och Fredrik,Alla mot alla med Filip och Fredrik,Alla mot alla med Filip och Fredrik,,https://image.tmdb.org/t/p/w500/zDmZBMOUtpdjkwI1TDtQt4jmBej.jpg,"7,8","7,6",,,,,"5,35714",4,"6,57857",N/A,Nexiko,Cinema,2025-02-06,1
2370,Hell's Kitchen,Hell's Kitchen,Hell's Kitchen,,https://image.tmdb.org/t/p/w500/shOVFku8daIGRpgjTdMZBxUAvsV.jpg,"6,822","7,2",,,,"6,3",,4,"6,561",N/A,A. Smith & Co. Productions,Cinema,2025-02-06,1
73679,Japanology Plus,Japanology Plus,Japanology Plus,,https://image.tmdb.org/t/p/w500/4yFTp3MvggIFLwTPxEQIvOprVI.jpg,"6,4","8,6",,,,,"6,6875",4,"6,54375",N/A,NHK,Cinema,2025-02-06,1
211892,One Cent Thief,One Cent Thief,One Cent Thief,,https://image.tmdb.org/t/p/w500/sw5QIK9ctfMCgi2IrBw8WH6U6M7.jpg,"5,8","7,5",,,,,"7,28571",4,"6,542854999999999",N/A,Astro Shaw,Cinema,2025-02-06,1
226688,Beyblade X,BEYBLADE X,Beyblade X,,https://image.tmdb.org/t/p/w500/66wkm14IWdrY5LaKZDAbkD2T9Jt.jpg,"7,7","6,6",,,,,"5,375",4,"6,5375",Netflix,TakaraTomy,Streaming,2025-02-06,1
4419,Real Time with Bill Maher,Real Time with Bill Maher,Real Time with Bill Maher,,https://image.tmdb.org/t/p/w500/pbpoLLp4kvnYVfnEGiEhagpJuVZ.jpg,6,"7,4",,,,,"7,06719",4,"6,533595",Max,Bill Maher Productions,Streaming,2025-02-06,1
2394,This Old House,This Old House,This Old House,,https://image.tmdb.org/t/p/w500/ecAOX4esywAXLF5I4X2gaTmhmAG.jpg,"5,2","7,9",,,,,"7,86207",4,"6,531035",N/A,This Old House Productions,Cinema,2025-02-06,1
2674,Neighbours,Neighbours,Neighbours,,https://image.tmdb.org/t/p/w500/bXY78bQsKCIiD17Sr6yO4wLIXqS.jpg,"6,1","5,6",,,,,"6,91919",4,"6,509595",N/A,Fremantle Australia,Cinema,2025-02-06,1
